product_id,Review
408611002,This shirt is so comfortable and is such a easy shirt to throw on for every Casual occasion And looks even better paired with sweatpants
857091002,Breezy and comfy. Very soft.
482286002,Nice quality
401367002,Wonferful
847417002,Can't find these type of shirts at a reasonable price
856991062,"Gorgeous color & good fit.0, able to dress up or down"
482743002,One of my sons faves
847418002,Son loved it and true to size
408731002,"This is a great t-shirt! Not see through, not fitted and doesn't cling. The lettering is well done. The sleeves are a great length, and the shirt itself isn't too long or too short. Overall, it's a great shirt that will get you a ton of compliments!"
846517002,"Fits well, looks amazi g"
411787012,Comfortable
401551002,Great fit. Soft tee
401422002,"Got this for my son as a sleep shirt, he loves it"
482859002,Arrived as expected 👍🏼
482301002,"Comfortable fit, great design!"
377920002,Love me some graphic Tees and I needed this one. Great quality!
482761002,Soft
535598002,"Fits true to size, arms are nice and long"
482720002,I just like it.
847673002,Good quality
408620002,Shirt was fitted correctly
482759002,Fits great
408781002,Shirt fit well
482281002,No review found
482752002,"Comfy fabric, fun graphic."
401370002,The graphics are very cool and the quality is very good.
484686022,Very flattering.
482824002,No review found
482770002,Good quality and fit.
847728002,My 10yr old son loves this shirt! It's clean looking shirt and goes well with any/all bottoms.
422754002,Beautiful color
864808012,Love this top!
422115032,I bought it for my teenage granddaughter and she loves it.
377919002,"Arrived early
The shirt is quality I'd expect."
408804002,Comfortable
482408002,No review found
811355002,Cute
482722002,Nice quality shirt that fit me well! I ordered the 4xl and am very happy with it!
482750002,Love them both. My son loved his shirt. This dress with be perfect for my Halloween costume.
808301032,The order delivered quickly
724927132,"Love this top!  Ordered a second one!  Soft, nice fit, great value!"
857086022,This shirt is a great top. It can go with most everything!
401378002,Nice quality and fit.
417905002,It's very cool and comfortable
401568002,Great addition to any Marvel fans collection. It's a good quality tee
401591002,True fit
482826002,Love the quality and feel of the shirt.
877274022,Fresh
408688002,"the prize is affordable and the design is just simple, the color and it fits to my son and grandson"
482728002,I liked it
482356002,Dope shirt love this show
545976002,Great quality
684156002,No review found
401603002,Nice quality shirt that fit me well! I ordered the 4xl and am very happy with it!
482763002,I love it! My daughters and I all have one!
482834002,"I love the fabric , the fit is great and I love Godzilla."
222123002,Nice feel for A t-shirt
482861002,Love the fit! Can't go wrong with a cute tee!
545948002,Soft fabric
482550002,Soft material and fits well
482771002,My daughter loves it
649926072,"I've been buying Old Navy tanks for years. I love love love them. ! wear them all year, every day. I get the Tall because I like them long."
857726042,"I sized down (to medium) and felt the fit was perfect, just a little tight which is what I hoped for."
497204022,Nice casual fit. Perfect for everyday wear
684155002,No review found
446754002,#sweepstakes :)
877517012,"This pajama is light weight, comfortable and pretty."
710344002,Great quality cotton t-shirt! Reminds me of the cool 80's graphic statement tees. Love this!
227019002,Love Batman
482397002,No review found
393537002,Comfortable printed T
446857002,"Love this shirt, loose fitting and good length."
576756042,Correct fit
483878002,"Love the shirts! Love the 76'ers and Celtics. I like lightweight tshirts. These are great. 
Keep coming out wirh NBA shirts, please. Love them!"
513754002,Gorgeous top! Fits well and looks so pretty with jeans or dress pants.
482299002,Soft
564267002,"Cute, fits true to size"
401521002,Perfect tee for my teenager!
